Title,Body,Labels
[P0] Adopt Conventional Commits,"Adopt Conventional Commits across the repo.

Acceptance:
- PRs and commits follow conventional style.

Date: 2025-10-08","phase:0,area:infra,type:docs,prio:P1"
[P0] Branching Strategy,"Define and document branching: main (protected), feat/*, fix/*, chore/*.","phase:0,area:infra,type:docs,prio:P2"
[P0] Create Issue & PR Templates,"Add .github/ISSUE_TEMPLATE and PR template.
Feature, Bug, Content templates.","phase:0,area:infra,type:chore,prio:P1"
[P0] Initialize pnpm Workspaces,Set up pnpm workspaces in root package.json.,"phase:0,area:infra,type:feat,prio:P1"
[P0] Prettier + ESLint + TS config,"Configure Prettier, ESLint, and base TS config shared by workspaces.","phase:0,area:infra,type:feat,prio:P1"
[P0] Husky + lint-staged,"Pre-commit hooks for lint, format, type-check.","phase:0,area:infra,type:feat,prio:P1"
"[P0] CI: install, build, test","GitHub Actions: setup-node, pnpm install, -w build, -w test.","phase:0,area:infra,type:feat,prio:P1"
[P0] Monorepo directory skeleton,"Create apps/, packages/, docs/, infra/, scripts/ with placeholder READMEs.","phase:0,area:infra,type:chore,prio:P1"
[P0] CODEOWNERS,Add CODEOWNERS mapped to folders.,"phase:0,area:infra,type:chore,prio:P2"
[P0] Define Labels,"Create labels: phase:X, area:*, type:*, prio:P1/P2/P3.","phase:0,area:infra,type:chore,prio:P1"
[P1] Topic Map for Python Basics,"Define topics: Variables, Types, I/O, Control Flow, Functions, Lists, Dicts, Loops, Errors, Modules.","phase:1,area:content,type:docs,prio:P1"
[P1] Curriculum JSON Schema,Design JSON schema for tracks/modules/lessons/checkpoints.,"phase:1,area:content,type:feat,prio:P1"
[P1] Content Lint Rules,"CLI rules: unique IDs, length bounds, hint presence, copy quality checks.","phase:1,area:content,type:test,prio:P1"
[P1] Draft 10+ Lesson Skeletons,Create skeleton content for ≥10 lessons with placeholders.,"phase:1,area:content,type:docs,prio:P1"
[P1] Define Checkpoint Types,"Specify note, quiz-mcq, fill-blank, code-cell; required fields per type.","phase:1,area:content,type:docs,prio:P2"
[P1] UX Flow Spec,Document lesson → challenge → hints → explanation → mastery tick flow with wireframes.,"phase:1,area:ui,type:docs,prio:P1"
[P1] Teacher Voice Guidelines,"Tone & copy patterns incl. 'Okay, let’s put you to the test.' triggers.","phase:1,area:content,type:docs,prio:P2"
[P1] Stuck Handling Policy,Define H0/H1/H2 → Reveal → Micro-lesson loop and UX states.,"phase:1,area:core,type:docs,prio:P1"
[P1] Privacy & Storage Spec,Define local-only data keys and encrypted export/import format.,"phase:1,area:infra,type:docs,prio:P1"
[P2] Core: Lesson Graph Loader,Load & validate lessons against schema; errors with line/col.,"phase:2,area:core,type:feat,prio:P1"
[P2] Core: Mastery Model,"Per-topic mastery %, update rules per attempt and decay parameters.","phase:2,area:core,type:feat,prio:P1"
[P2] Core: Scoring & Streaks,"XP, streak tracking, penalties for reveals; summary outputs.","phase:2,area:core,type:feat,prio:P2"
[P2] Core: Adaptive Selection Policy,Next-checkpoint selector using mastery & recent mistakes.,"phase:2,area:core,type:feat,prio:P1"
[P2] Core: Hint State Machine,H0→H1→H2→Reveal transitions with timers and usage counters.,"phase:2,area:core,type:feat,prio:P1"
[P2] Telemetry Interfaces (Local),"Define local-only analytics interfaces for sessions, attempts, hints.","phase:2,area:core,type:feat,prio:P2"
[P2] UI Kit: LessonCard,Reusable lesson container with title/progress slots.,"phase:2,area:ui,type:feat,prio:P2"
[P2] UI Kit: QuizMCQ,Multiple-choice widget with per-option rationale slots.,"phase:2,area:ui,type:feat,prio:P1"
[P2] UI Kit: FillBlank,Fill-in-the-blank widget with validation hooks.,"phase:2,area:ui,type:feat,prio:P1"
[P2] UI Kit: CodeCell (Sandboxed),Safe eval sandbox with timeouts and restricted APIs.,"phase:2,area:ui,type:feat,prio:P1"
[P2] UI Kit: HintPanel & ResultExplainer,"Panels for hints, reveals, and explanations with animations.","phase:2,area:ui,type:feat,prio:P2"
[P2] UI Kit: ProgressBar & StreakChip,Progress indicators and streak UI components.,"phase:2,area:ui,type:feat,prio:P2"
[P2] UI Kit: Theme Tokens,"Base tokens for colors, spacing, typography, elevation.","phase:2,area:ui,type:feat,prio:P3"
[P2] Data: Content Store Layout,Directory structure per track/module/lesson with IDs.,"phase:2,area:content,type:chore,prio:P2"
[P2] Data: Validator CLI,pnpm data:lint validates and reports issues with paths.,"phase:2,area:content,type:test,prio:P1"
[P2] Tests: Core Engines,"Unit tests for mastery update, hint transitions, adaptive selection.","phase:2,area:core,type:test,prio:P1"
[P3] LLM Adapter: WebLLM (Browser),"Integrate WebGPU model (Qwen2.5-Instruct 1.5B default, 3B optional).","phase:3,area:llm,type:feat,prio:P1"
[P3] LLM Adapter: Ollama Detection,Probe http://localhost:11434/api/tags (150–300ms timeout) and enable toggle.,"phase:3,area:llm,type:feat,prio:P1"
[P3] LLM Routing Policy,Order: Browser→Ollama→(Phase 6) Free web search; per-task model policy.,"phase:3,area:llm,type:feat,prio:P1"
[P3] Prompt Templates,"Templates for hints, per-option rationales (why right/wrong), self-eval rubric.","phase:3,area:llm,type:feat,prio:P1"
[P3] Guardrails: Retrieval-first,Use curated lesson snippets first; cap length/temperature; stop seqs.,"phase:3,area:llm,type:feat,prio:P1"
[P3] Speech: ASR Adapters,whisper.cpp or Vosk integration for browser/Android paths.,"phase:3,area:speech,type:feat,prio:P1"
[P3] Speech: TTS Adapters,Piper integration; Web Speech API fallback for web.,"phase:3,area:speech,type:feat,prio:P2"
[P3] Latency & Snapshot Tests,ASR <1.5s; explanation <2s on mid-range laptop; deterministic prompt tests.,"phase:3,area:llm,type:test,prio:P1"
[P4] Web App Shell (React+Vite+TS),"Create app shell with routes: Home, Tracks, Lesson, Review, Settings, About.","phase:4,area:web,type:feat,prio:P1"
[P4] Service Worker & Offline Cache,Workbox/manual strategy; cache app shell + content packs.,"phase:4,area:web,type:feat,prio:P1"
[P4] IndexedDB Schema,"Local DB for progress, sessions, telemetry.","phase:4,area:web,type:feat,prio:P1"
[P4] Integrate Core & UI Kit,Wire lesson engine and widgets; implement Teacher Mode triggers.,"phase:4,area:web,type:feat,prio:P1"
[P4] CodeCell Sandbox Integration,"Hook CodeCell with safe eval, timeouts, and feedback.","phase:4,area:web,type:feat,prio:P1"
[P4] Voice UX,"Mic permissions, VU meter, TTS queueing, settings page.","phase:4,area:web,type:feat,prio:P2"
[P4] First-Run Model Download Flow,Offer tiny/small/medium packs with size estimates and caching path.,"phase:4,area:web,type:feat,prio:P1"
[P4] Complete Python Basics Track,≥10 lessons with 2–3 checkpoints each; per-option rationales present.,"phase:4,area:content,type:docs,prio:P1"
[P4] PWA Manifest & Icons,"Add manifest, icons, install banner; test installability.","phase:4,area:web,type:feat,prio:P2"
[P4] A11y Pass (Web),"Keyboard nav, focus rings, captions, contrast check.","phase:4,area:web,type:test,prio:P1"
[P5] Android Shell (React Native/Expo),Initialize app and share core packages where possible.,"phase:5,area:android,type:feat,prio:P1"
[P5] Android Storage,Implement SQLite/AsyncStorage mapping for progress and settings.,"phase:5,area:android,type:feat,prio:P2"
[P5] Android ASR/TTS,Integrate Vosk for ASR and Piper/native TTS; permissions flow.,"phase:5,area:android,type:feat,prio:P1"
[P5] Model Download Manager,Pause/resume downloads; Wi-Fi-only option; cache location.,"phase:5,area:android,type:feat,prio:P1"
[P5] LAN Ollama (Optional Advanced),Allow connecting to LAN Ollama with IP allowlist and TLS warning.,"phase:5,area:android,type:feat,prio:P3"
[P5] Android Parity for Python Basics,Achieve feature parity with web MVP for the Python Basics track.,"phase:5,area:android,type:feat,prio:P1"
[P6] Skill Estimation & Spaced Repetition,Implement confidence-based mastery and spaced review sessions.,"phase:6,area:core,type:feat,prio:P2"
[P6] Free Web Search Adapter,Anonymous search to free sources; on-device filtering and citations.,"phase:6,area:llm,type:feat,prio:P2"
[P6] Self-Evaluation Gate for External Content,Rubric to score candidate materials; reject below threshold.,"phase:6,area:llm,type:test,prio:P2"
[P7] Local-First Privacy Page,"Explain on-device inference, optional Ollama, and no paid APIs.","phase:7,area:web,type:docs,prio:P2"
[P7] Encrypted Export/Import,Export/import progress with password; handle conflicts.,"phase:7,area:core,type:feat,prio:P1"
[P7] A11y Audit & Fixes,Full accessibility audit and fixes across platforms.,"phase:7,area:web,type:test,prio:P2"
